report_id,session_id,user_id,lat,lon,timestamp,review_text,threat_label,severity_score,location_name
R000442,S0081,U2587,34.152707,77.577019,2025-07-11T11:23:09,Auto driver refused meter and behaved aggressively near Leh Market.,unsafe_transport,0.483,Leh Market
R000381,S0070,U7930,19.054898,72.839169,2025-09-14T14:36:22,"My bag was snatched near Bandra, Mumbai. I lost my phone and wallet.",theft,0.636,"Bandra, Mumbai"
R000121,S0022,U1650,26.577406,93.17166,2025-09-07T04:32:45,I was attacked near Kaziranga Park. Got hurt and need police help.,assault,1.0,Kaziranga Park
R000429,S0078,U1248,8.486196,76.936128,2025-07-09T09:06:51,"Pickpocketing at Kovalam, Trivandrum — they took my wallet during the crowd.",theft,0.751,"Kovalam, Trivandrum"
R000006,S0002,U1399,27.61656,93.830877,2025-08-27T02:44:18,Someone tried a credit-card scam near Ziro Valley.,scam,0.452,Ziro Valley
R000614,S0113,U3419,34.152619,77.576985,2025-09-03T21:57:38,Boat operator was reckless near Leh Market and it felt unsafe. Happened at night.,unsafe_transport,0.358,Leh Market
R000467,S0088,U9385,18.943766,72.823022,2025-07-09T04:06:48,"My bag was snatched near Marine Drive, Mumbai. I lost my phone and wallet.",theft,0.695,"Marine Drive, Mumbai"
R000192,S0035,U5346,34.083594,74.797142,2025-07-13T11:38:14,"Group of men assaulted me close to Srinagar Dal Lake. Lost valuables worth approx. INR 15,000.",assault,0.843,Srinagar Dal Lake
R000607,S0112,U6367,27.585944,91.863876,2025-08-15T05:13:11,Physical assault happened near Tawang during the night.,assault,0.84,Tawang
R000656,S0122,U6373,10.088324,77.058787,2025-07-02T14:20:26,Taxi driver tried to drive off-route near Munnar.,unsafe_transport,0.414,Munnar
R000548,S0101,U6525,11.934037,79.830713,2025-07-14T06:02:49,Saw a suspicious person lurking near Pondicherry Promenade for hours.,suspicious_person,0.511,Pondicherry Promenade
R000671,S0124,U1734,19.88665,86.095137,2025-09-23T23:11:23,Property damage near Konark Sun Temple area late at night. I was alone at that time.,vandalism,0.206,Konark Sun Temple area
R000359,S0064,U3806,26.847454,80.945535,2025-09-03T12:55:45,Saw a suspicious person lurking near Lucknow Hazratganj for hours.,suspicious_person,0.651,Lucknow Hazratganj
R000188,S0034,U9008,27.585991,91.864088,2025-07-30T04:07:46,Fake guide scammed me at Tawang promising discount tours.,scam,0.417,Tawang
